modelo,variant_features,hyperparams,threshold_type,threshold,split,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
XGBoost,all_features,n_estimators=400;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.91,validation,0.7982,0.3401,0.4926,0.4024,0.7367,0.3365,720,130,69,67
XGBoost,all_features,n_estimators=400;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.3803,0.1706,0.9044,0.287,0.7473,0.4363,252,598,13,123
XGBoost,all_features,n_estimators=400;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.83,validation,0.8722,0.5368,0.5368,0.5368,0.7473,0.4363,787,63,63,73
XGBoost,all_features,n_estimators=400;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.3763,0.1678,0.8897,0.2824,0.7485,0.4234,250,600,15,121
XGBoost,all_features,n_estimators=400;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.89,validation,0.8327,0.4181,0.5441,0.4728,0.7485,0.4234,747,103,62,74
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=2;lr=0.03;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8103,0.3053,0.2941,0.2996,0.6105,0.274,759,91,96,40
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=2;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.32,validation,0.7769,0.3,0.4632,0.3642,0.6105,0.274,703,147,73,63
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8185,0.328,0.3015,0.3142,0.6554,0.2878,766,84,95,41
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.33,validation,0.788,0.3109,0.4412,0.3647,0.6554,0.2878,717,133,76,60
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8245,0.3445,0.3015,0.3216,0.6047,0.2861,772,78,95,41
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.33,validation,0.8043,0.3273,0.3971,0.3588,0.6047,0.2861,739,111,82,54
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8215,0.3529,0.3529,0.3529,0.6193,0.2892,762,88,88,48
XGBoost,reduced_no_level_features,n_estimators=200;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.4,validation,0.8134,0.3462,0.3971,0.3699,0.6193,0.2892,748,102,82,54
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=2;lr=0.03;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8164,0.32,0.2941,0.3065,0.6599,0.2927,765,85,96,40
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=2;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.34,validation,0.7961,0.3224,0.4338,0.3699,0.6599,0.2927,726,124,77,59
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8185,0.3407,0.3382,0.3395,0.6644,0.3073,761,89,90,46
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.47,validation,0.8205,0.3566,0.375,0.3656,0.6644,0.3073,758,92,85,51
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8235,0.3603,0.3603,0.3603,0.6222,0.3044,763,87,87,49
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.46,validation,0.8174,0.3533,0.3897,0.3706,0.6222,0.3044,753,97,83,53
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.8256,0.3696,0.375,0.3723,0.6457,0.335,763,87,85,51
XGBoost,reduced_no_level_features,n_estimators=400;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.46,validation,0.8225,0.3673,0.3971,0.3816,0.6457,0.335,757,93,82,54
